src,tgt,rel,data
claim:0000,entity:astrelia,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0000"", ""target"": ""entity:astrelia""}"
claim:0000,metric:revenue,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0000"", ""target"": ""metric:revenue""}"
claim:0000,period:fy24a,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0000"", ""target"": ""period:fy24a""}"
claim:0000,perimeter:astrelia_consolidated_revenue,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0000"", ""target"": ""perimeter:astrelia_consolidated_revenue""}"
claim:0000,source:business_plan_extract,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0000"", ""target"": ""source:business_plan_extract""}"
claim:0000,author:astrelia_management,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0000"", ""target"": ""author:astrelia_management""}"
claim:0000,claim:0001,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0001""}"
claim:0000,claim:0002,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0002""}"
claim:0000,claim:0003,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0003""}"
claim:0000,claim:0004,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0004""}"
claim:0000,claim:0005,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0005""}"
claim:0000,claim:0006,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0006""}"
claim:0000,claim:0029,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0029""}"
claim:0000,claim:0030,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0030""}"
claim:0000,claim:0031,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0031""}"
claim:0000,claim:0032,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0032""}"
claim:0000,claim:0035,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0035""}"
claim:0000,claim:0038,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0038""}"
claim:0000,claim:0051,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0000"", ""target"": ""claim:0051""}"
claim:0000,claim:0052,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0052""}"
claim:0000,claim:0053,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0053""}"
claim:0000,claim:0054,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0054""}"
claim:0000,claim:0055,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0055""}"
claim:0000,claim:0056,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0056""}"
claim:0000,claim:0057,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0057""}"
claim:0000,claim:0058,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0000"", ""target"": ""claim:0058""}"
claim:0000,claim:0059,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0059""}"
claim:0000,claim:0060,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0060""}"
claim:0000,claim:0061,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0061""}"
claim:0000,claim:0062,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0062""}"
claim:0000,claim:0063,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0063""}"
claim:0000,claim:0064,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0064""}"
claim:0000,claim:0065,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0000"", ""target"": ""claim:0065""}"
claim:0000,claim:0066,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0000"", ""target"": ""claim:0066""}"
