id,type,label,data
claim:0000,claim,,"{""type"": ""claim"", ""value"": ""38.23"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY24A revenue of \u20ac38.23m."", ""locator"": ""Financial Analysis table, FY24A revenue row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0000""}"
entity:astrelia,entity,Astrelia,"{""type"": ""entity"", ""label"": ""Astrelia"", ""id"": ""entity:astrelia""}"
metric:revenue,metric,Revenue,"{""type"": ""metric"", ""label"": ""Revenue"", ""id"": ""metric:revenue""}"
period:fy24a,period,FY24A,"{""type"": ""period"", ""label"": ""FY24A"", ""id"": ""period:fy24a""}"
perimeter:astrelia_consolidated_revenue,perimeter,Astrelia consolidated revenue,"{""type"": ""perimeter"", ""label"": ""Astrelia consolidated revenue"", ""id"": ""perimeter:astrelia_consolidated_revenue""}"
source:business_plan_extract,source,Business Plan Extract,"{""type"": ""source"", ""label"": ""Business Plan Extract"", ""id"": ""source:business_plan_extract""}"
author:astrelia_management,author,Astrelia management,"{""type"": ""author"", ""label"": ""Astrelia management"", ""id"": ""author:astrelia_management""}"
claim:0001,claim,,"{""type"": ""claim"", ""value"": ""62.06"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY25A revenue of \u20ac62.06m."", ""locator"": ""Financial Analysis table, FY25A revenue row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0001""}"
period:fy25a,period,FY25A,"{""type"": ""period"", ""label"": ""FY25A"", ""id"": ""period:fy25a""}"
claim:0002,claim,,"{""type"": ""claim"", ""value"": ""115.57"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia forecasts FY26E revenue of \u20ac115.57m."", ""locator"": ""Financial Analysis table, FY26E revenue row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0002""}"
period:fy26e,period,FY26E,"{""type"": ""period"", ""label"": ""FY26E"", ""id"": ""period:fy26e""}"
"perimeter:astrelia_consolidated_revenue,_management_forecast",perimeter,"Astrelia consolidated revenue, management forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated revenue, management forecast"", ""id"": ""perimeter:astrelia_consolidated_revenue,_management_forecast""}"
claim:0003,claim,,"{""type"": ""claim"", ""value"": ""212"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia forecasts FY27E revenue of \u20ac212m."", ""locator"": ""Financial Analysis table, FY27E revenue row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0003""}"
period:fy27e,period,FY27E,"{""type"": ""period"", ""label"": ""FY27E"", ""id"": ""period:fy27e""}"
claim:0004,claim,,"{""type"": ""claim"", ""value"": ""385.6"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia forecasts FY28E revenue of \u20ac385.6m."", ""locator"": ""Financial Analysis table, FY28E revenue row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0004""}"
period:fy28e,period,FY28E,"{""type"": ""period"", ""label"": ""FY28E"", ""id"": ""period:fy28e""}"
claim:0005,claim,,"{""type"": ""claim"", ""value"": ""631.72"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia forecasts FY29E revenue of \u20ac631.72m."", ""locator"": ""Financial Analysis table, FY29E revenue row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0005""}"
period:fy29e,period,FY29E,"{""type"": ""period"", ""label"": ""FY29E"", ""id"": ""period:fy29e""}"
