src,tgt,rel,data
claim:0000,metric:active_billing_accounts,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0000"",""target"":""metric:active_billing_accounts""}"
claim:0000,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0000"",""target"":""perimeter:unknown""}"
claim:0000,source:seller_cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0000"",""target"":""source:seller_cim""}"
claim:0001,metric:customer_retention,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0001"",""target"":""metric:customer_retention""}"
claim:0001,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0001"",""target"":""perimeter:unknown""}"
claim:0001,source:seller_cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0001"",""target"":""source:seller_cim""}"
claim:0002,metric:acquisition_count,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0002"",""target"":""metric:acquisition_count""}"
claim:0002,perimeter:alderstone_standalone,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0002"",""target"":""perimeter:alderstone_standalone""}"
claim:0002,source:seller_cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0002"",""target"":""source:seller_cim""}"
claim:0003,metric:customer_contract_terms,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0003"",""target"":""metric:customer_contract_terms""}"
claim:0003,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0003"",""target"":""perimeter:unknown""}"
claim:0003,source:seller_cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0003"",""target"":""source:seller_cim""}"
claim:0004,metric:systems_integration_risk,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0004"",""target"":""metric:systems_integration_risk""}"
claim:0004,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0004"",""target"":""perimeter:unknown""}"
claim:0004,source:seller_cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0004"",""target"":""source:seller_cim""}"
claim:0005,metric:key_person_risk,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0005"",""target"":""metric:key_person_risk""}"
claim:0005,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0005"",""target"":""perimeter:unknown""}"
claim:0005,source:seller_cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0005"",""target"":""source:seller_cim""}"
claim:0006,metric:integration_risk,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0006"",""target"":""metric:integration_risk""}"
claim:0006,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0006"",""target"":""perimeter:unknown""}"
claim:0006,source:seller_cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0006"",""target"":""source:seller_cim""}"
claim:0007,metric:revenue,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0007"",""target"":""metric:revenue""}"
claim:0007,period:fy2025a,IN_PERIOD,"{""rel"":""IN_PERIOD"",""source"":""claim:0007"",""target"":""period:fy2025a""}"
claim:0007,perimeter:alderstone_standalone,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0007"",""target"":""perimeter:alderstone_standalone""}"
claim:0007,source:data_room_extract,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0007"",""target"":""source:data_room_extract""}"
claim:0008,metric:ebitda,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0008"",""target"":""metric:ebitda""}"
claim:0008,period:fy2025a,IN_PERIOD,"{""rel"":""IN_PERIOD"",""source"":""claim:0008"",""target"":""period:fy2025a""}"
claim:0008,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0008"",""target"":""perimeter:unknown""}"
claim:0008,source:data_room_extract,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0008"",""target"":""source:data_room_extract""}"
claim:0009,metric:gross_debt,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0009"",""target"":""metric:gross_debt""}"
claim:0009,period:fy2025a,IN_PERIOD,"{""rel"":""IN_PERIOD"",""source"":""claim:0009"",""target"":""period:fy2025a""}"
claim:0009,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0009"",""target"":""perimeter:unknown""}"
claim:0009,source:data_room_extract,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0009"",""target"":""source:data_room_extract""}"
claim:0010,metric:gross_debt,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0010"",""target"":""metric:gross_debt""}"
claim:0010,period:fy2026e,IN_PERIOD,"{""rel"":""IN_PERIOD"",""source"":""claim:0010"",""target"":""period:fy2026e""}"
claim:0010,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0010"",""target"":""perimeter:unknown""}"
claim:0010,source:data_room_extract,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0010"",""target"":""source:data_room_extract""}"
claim:0011,metric:gross_debt,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0011"",""target"":""metric:gross_debt""}"
claim:0011,period:fy2027e,IN_PERIOD,"{""rel"":""IN_PERIOD"",""source"":""claim:0011"",""target"":""period:fy2027e""}"
