id,type,label,data
claim:0000,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""asserted"",""id"":""claim:0000"",""locator"":""keystone_seller_cim.md::## Revenue characteristics:Revenue characteristics"",""statement"":""The Company serves more than 600 active billing accounts."",""type"":""claim"",""unit"":"""",""value"":""600.0""}"
entity:unknown,entity,unknown,"{""id"":""entity:unknown"",""label"":""unknown"",""type"":""entity""}"
metric:active_billing_accounts,metric,Active Billing Accounts,"{""id"":""metric:active_billing_accounts"",""label"":""Active Billing Accounts"",""type"":""metric""}"
perimeter:unknown,perimeter,unknown,"{""id"":""perimeter:unknown"",""label"":""unknown"",""type"":""perimeter""}"
source:src-cim,source,SRC-CIM,"{""id"":""source:src-cim"",""label"":""SRC-CIM"",""type"":""source""}"
author:management,author,management,"{""id"":""author:management"",""label"":""management"",""type"":""author""}"
area:customer,area,Customer,"{""id"":""area:customer"",""label"":""Customer"",""type"":""area""}"
claim:0001,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""supports"",""epistemic"":""asserted"",""id"":""claim:0001"",""locator"":""keystone_seller_cim.md::## Revenue characteristics:Revenue characteristics"",""statement"":""The ten largest billing accounts have an average tenure of approximately eight years."",""type"":""claim"",""unit"":""years"",""value"":""8.0""}"
metric:customer_retention,metric,Customer Retention,"{""id"":""metric:customer_retention"",""label"":""Customer Retention"",""type"":""metric""}"
claim:0002,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""asserted"",""id"":""claim:0002"",""locator"":""keystone_seller_cim.md::## Executive summary:Executive summary"",""statement"":""Alderstone has completed four acquisitions since 2020."",""type"":""claim"",""unit"":"""",""value"":""4.0""}"
entity:alderstone_standalone,entity,Alderstone standalone,"{""id"":""entity:alderstone_standalone"",""label"":""Alderstone standalone"",""type"":""entity""}"
metric:acquisition_count,metric,Acquisition Count,"{""id"":""metric:acquisition_count"",""label"":""Acquisition Count"",""type"":""metric""}"
perimeter:alderstone_standalone,perimeter,Alderstone standalone,"{""id"":""perimeter:alderstone_standalone"",""label"":""Alderstone standalone"",""type"":""perimeter""}"
area:operations,area,Operations,"{""id"":""area:operations"",""label"":""Operations"",""type"":""area""}"
claim:0003,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""contradicts"",""epistemic"":""asserted"",""id"":""claim:0003"",""locator"":""keystone_seller_cim.md::## Risk factors disclosed by management:Risk factors disclosed by management — Customer relationships"",""statement"":""Customer relationships are generally governed by master agreements and site-level statements of work without guaranteed minimum volumes."",""type"":""claim"",""unit"":null,""value"":""No guaranteed minimum volumes""}"
metric:customer_contract_terms,metric,Customer Contract Terms,"{""id"":""metric:customer_contract_terms"",""label"":""Customer Contract Terms"",""type"":""metric""}"
claim:0004,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""contradicts"",""epistemic"":""asserted"",""id"":""claim:0004"",""locator"":""keystone_seller_cim.md::## Risk factors disclosed by management:Risk factors disclosed by management — Systems integration"",""statement"":""Acquired branches continue to operate on partially different systems and processes."",""type"":""claim"",""unit"":null,""value"":""Acquired branches operate on partially different systems and processes""}"
metric:systems_integration_risk,metric,Systems Integration Risk,"{""id"":""metric:systems_integration_risk"",""label"":""Systems Integration Risk"",""type"":""metric""}"
claim:0005,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""contradicts"",""epistemic"":""asserted"",""id"":""claim:0005"",""locator"":""keystone_seller_cim.md::## Risk factors disclosed by management:Risk factors disclosed by management — Key person risk"",""statement"":""The Company depends on qualified technical personnel and local customer relationships."",""type"":""claim"",""unit"":null,""value"":""Depends on qualified technical personnel and local customer relationships""}"
metric:key_person_risk,metric,Key Person Risk,"{""id"":""metric:key_person_risk"",""label"":""Key Person Risk"",""type"":""metric""}"
area:governance,area,Governance,"{""id"":""area:governance"",""label"":""Governance"",""type"":""area""}"
claim:0006,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""contradicts"",""epistemic"":""asserted"",""id"":""claim:0006"",""locator"":""keystone_seller_cim.md::## Risk factors disclosed by management:Risk factors disclosed by management — Integration risk"",""statement"":""Integration and systems initiatives may require additional time and expenditure."",""type"":""claim"",""unit"":null,""value"":""Integration and systems initiatives may require additional time and expenditure""}"
metric:integration_risk,metric,Integration Risk,"{""id"":""metric:integration_risk"",""label"":""Integration Risk"",""type"":""metric""}"
claim:0007,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""asserted"",""id"":""claim:0007"",""locator"":""keystone_data_room_extract.md::section:w0-250:Income Statement | Historical Three-Statement Financials"",""statement"":""Alderstone revenue for FY2025A was $74 million."",""type"":""claim"",""unit"":""$m"",""value"":""74.0""}"
metric:revenue,metric,Revenue,"{""id"":""metric:revenue"",""label"":""Revenue"",""type"":""metric""}"
period:fy2025a,period,FY2025A,"{""id"":""period:fy2025a"",""label"":""FY2025A"",""type"":""period""}"
source:src-dr,source,SRC-DR,"{""id"":""source:src-dr"",""label"":""SRC-DR"",""type"":""source""}"
claim:0008,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""supports"",""epistemic"":""asserted"",""id"":""claim:0008"",""locator"":""keystone_data_room_extract.md::section:w250-500:keystone_data_room_extract.md::section:w250-500 | Reported EBITDA table"",""statement"":""Reported EBITDA was $10.2m in FY2025A."",""type"":""claim"",""unit"":""$m"",""value"":""10.2""}"
metric:ebitda,metric,EBITDA,"{""id"":""metric:ebitda"",""label"":""EBITDA"",""type"":""metric""}"
claim:0009,claim,,"{""deal"":""keystone"",""derivation"":""Bank debt $9.0m + Finance leases $0.4m = $9.4m"",""direction"":""context"",""epistemic"":""derived"",""id"":""claim:0009"",""locator"":""keystone_data_room_extract.md::section:w500-750:keystone_data_room_extract.md::section:w500-750 — Balance sheet lines for Bank debt and Finance leases"",""statement"":""Total gross debt (bank debt plus finance leases) was $9.4m in FY2025A, comprising bank debt of $9.0m and finance leases of $0.4m."",""type"":""claim"",""unit"":""$m"",""value"":""9.4""}"
metric:gross_debt,metric,Gross Debt,"{""id"":""metric:gross_debt"",""label"":""Gross Debt"",""type"":""metric""}"
area:structure,area,Structure,"{""id"":""area:structure"",""label"":""Structure"",""type"":""area""}"
claim:0010,claim,,"{""deal"":""keystone"",""derivation"":""Bank debt $9.5m + Finance leases $0.5m = $10.0m"",""direction"":""context"",""epistemic"":""derived"",""id"":""claim:0010"",""locator"":""keystone_data_room_extract.md::section:w500-750:keystone_data_room_extract.md::section:w500-750 — Balance sheet lines for Bank debt and Finance leases"",""statement"":""Total gross debt (bank debt plus finance leases) was $10.0m in FY2026E, comprising bank debt of $9.5m and finance leases of $0.5m."",""type"":""claim"",""unit"":""$m"",""value"":""10.0""}"
period:fy2026e,period,FY2026E,"{""id"":""period:fy2026e"",""label"":""FY2026E"",""type"":""period""}"
claim:0011,claim,,"{""deal"":""keystone"",""derivation"":""Bank debt $10.1m + Finance leases $0.55m = $10.65m"",""direction"":""context"",""epistemic"":""derived"",""id"":""claim:0011"",""locator"":""keystone_data_room_extract.md::section:w500-750:keystone_data_room_extract.md::section:w500-750 — Balance sheet lines for Bank debt and Finance leases"",""statement"":""Total gross debt (bank debt plus finance leases) was $10.65m in FY2027E, comprising bank debt of $10.1m and finance leases of $0.55m."",""type"":""claim"",""unit"":""$m"",""value"":""10.65""}"
period:fy2027e,period,FY2027E,"{""id"":""period:fy2027e"",""label"":""FY2027E"",""type"":""period""}"
