src,tgt,rel,data
claim:0000,entity:unknown,ABOUT,"{""rel"":""ABOUT"",""source"":""claim:0000"",""target"":""entity:unknown""}"
claim:0000,metric:active_billing_accounts,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0000"",""target"":""metric:active_billing_accounts""}"
claim:0000,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0000"",""target"":""perimeter:unknown""}"
claim:0000,source:src-cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0000"",""target"":""source:src-cim""}"
claim:0000,area:customer,IN_AREA,"{""rel"":""IN_AREA"",""source"":""claim:0000"",""target"":""area:customer""}"
claim:0000,claim:0001,SUPPORTS,"{""rel"":""SUPPORTS"",""source"":""claim:0000"",""target"":""claim:0001""}"
claim:0000,claim:0003,SUPPORTS,"{""rel"":""SUPPORTS"",""source"":""claim:0000"",""target"":""claim:0003""}"
claim:0001,entity:unknown,ABOUT,"{""rel"":""ABOUT"",""source"":""claim:0001"",""target"":""entity:unknown""}"
claim:0001,metric:customer_concentration,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0001"",""target"":""metric:customer_concentration""}"
claim:0001,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0001"",""target"":""perimeter:unknown""}"
claim:0001,source:src-cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0001"",""target"":""source:src-cim""}"
claim:0001,area:customer,IN_AREA,"{""rel"":""IN_AREA"",""source"":""claim:0001"",""target"":""area:customer""}"
claim:0001,claim:0064,CONTRADICTS,"{""rel"":""CONTRADICTS"",""source"":""claim:0001"",""target"":""claim:0064""}"
claim:0002,entity:alderstone_standalone,ABOUT,"{""rel"":""ABOUT"",""source"":""claim:0002"",""target"":""entity:alderstone_standalone""}"
claim:0002,metric:acquisition_count,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0002"",""target"":""metric:acquisition_count""}"
claim:0002,perimeter:alderstone_standalone,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0002"",""target"":""perimeter:alderstone_standalone""}"
claim:0002,source:src-cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0002"",""target"":""source:src-cim""}"
claim:0002,author:management,BY_AUTHOR,"{""rel"":""BY_AUTHOR"",""source"":""claim:0002"",""target"":""author:management""}"
claim:0002,area:operations,IN_AREA,"{""rel"":""IN_AREA"",""source"":""claim:0002"",""target"":""area:operations""}"
claim:0003,entity:unknown,ABOUT,"{""rel"":""ABOUT"",""source"":""claim:0003"",""target"":""entity:unknown""}"
claim:0003,metric:customer_contract_terms,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0003"",""target"":""metric:customer_contract_terms""}"
claim:0003,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0003"",""target"":""perimeter:unknown""}"
claim:0003,source:src-cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0003"",""target"":""source:src-cim""}"
claim:0003,author:management,BY_AUTHOR,"{""rel"":""BY_AUTHOR"",""source"":""claim:0003"",""target"":""author:management""}"
claim:0003,area:customer,IN_AREA,"{""rel"":""IN_AREA"",""source"":""claim:0003"",""target"":""area:customer""}"
claim:0004,entity:unknown,ABOUT,"{""rel"":""ABOUT"",""source"":""claim:0004"",""target"":""entity:unknown""}"
claim:0004,metric:systems_integration_risk,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0004"",""target"":""metric:systems_integration_risk""}"
claim:0004,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0004"",""target"":""perimeter:unknown""}"
claim:0004,source:src-cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0004"",""target"":""source:src-cim""}"
claim:0004,author:management,BY_AUTHOR,"{""rel"":""BY_AUTHOR"",""source"":""claim:0004"",""target"":""author:management""}"
claim:0004,area:operations,IN_AREA,"{""rel"":""IN_AREA"",""source"":""claim:0004"",""target"":""area:operations""}"
claim:0005,entity:unknown,ABOUT,"{""rel"":""ABOUT"",""source"":""claim:0005"",""target"":""entity:unknown""}"
claim:0005,metric:key_person_risk,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0005"",""target"":""metric:key_person_risk""}"
claim:0005,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0005"",""target"":""perimeter:unknown""}"
claim:0005,source:src-cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0005"",""target"":""source:src-cim""}"
claim:0005,author:management,BY_AUTHOR,"{""rel"":""BY_AUTHOR"",""source"":""claim:0005"",""target"":""author:management""}"
claim:0005,area:governance,IN_AREA,"{""rel"":""IN_AREA"",""source"":""claim:0005"",""target"":""area:governance""}"
claim:0006,entity:unknown,ABOUT,"{""rel"":""ABOUT"",""source"":""claim:0006"",""target"":""entity:unknown""}"
claim:0006,metric:integration_risk,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0006"",""target"":""metric:integration_risk""}"
claim:0006,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0006"",""target"":""perimeter:unknown""}"
claim:0006,source:src-cim,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0006"",""target"":""source:src-cim""}"
claim:0006,author:management,BY_AUTHOR,"{""rel"":""BY_AUTHOR"",""source"":""claim:0006"",""target"":""author:management""}"
claim:0006,area:operations,IN_AREA,"{""rel"":""IN_AREA"",""source"":""claim:0006"",""target"":""area:operations""}"
claim:0007,entity:unknown,ABOUT,"{""rel"":""ABOUT"",""source"":""claim:0007"",""target"":""entity:unknown""}"
claim:0007,metric:ebitda,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0007"",""target"":""metric:ebitda""}"
claim:0007,period:fy2025a,IN_PERIOD,"{""rel"":""IN_PERIOD"",""source"":""claim:0007"",""target"":""period:fy2025a""}"
claim:0007,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0007"",""target"":""perimeter:unknown""}"
claim:0007,source:src-dr,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0007"",""target"":""source:src-dr""}"
claim:0007,claim:0142,TRACKS,"{""rel"":""TRACKS"",""source"":""claim:0007"",""target"":""claim:0142""}"
claim:0007,claim:0249,TRACKS,"{""rel"":""TRACKS"",""source"":""claim:0007"",""target"":""claim:0249""}"
claim:0007,claim:0250,TRACKS,"{""rel"":""TRACKS"",""source"":""claim:0007"",""target"":""claim:0250""}"
claim:0008,entity:unknown,ABOUT,"{""rel"":""ABOUT"",""source"":""claim:0008"",""target"":""entity:unknown""}"
claim:0008,metric:ebitda_margin,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0008"",""target"":""metric:ebitda_margin""}"
claim:0008,period:fy2025a,IN_PERIOD,"{""rel"":""IN_PERIOD"",""source"":""claim:0008"",""target"":""period:fy2025a""}"
claim:0008,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0008"",""target"":""perimeter:unknown""}"
claim:0008,source:src-dr,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0008"",""target"":""source:src-dr""}"
claim:0008,claim:0142,TRACKS,"{""rel"":""TRACKS"",""source"":""claim:0008"",""target"":""claim:0142""}"
claim:0009,entity:unknown,ABOUT,"{""rel"":""ABOUT"",""source"":""claim:0009"",""target"":""entity:unknown""}"
claim:0009,metric:net_income,MEASURES,"{""rel"":""MEASURES"",""source"":""claim:0009"",""target"":""metric:net_income""}"
claim:0009,period:fy2025a,IN_PERIOD,"{""rel"":""IN_PERIOD"",""source"":""claim:0009"",""target"":""period:fy2025a""}"
claim:0009,perimeter:unknown,SCOPED_TO,"{""rel"":""SCOPED_TO"",""source"":""claim:0009"",""target"":""perimeter:unknown""}"
claim:0009,source:src-dr,FROM_SOURCE,"{""rel"":""FROM_SOURCE"",""source"":""claim:0009"",""target"":""source:src-dr""}"
