src,tgt,rel,data
claim:0000,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0000"", ""target"": ""entity:alderstone""}"
claim:0000,metric:revenue,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0000"", ""target"": ""metric:revenue""}"
claim:0000,period:fy2025,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0000"", ""target"": ""period:fy2025""}"
claim:0000,"perimeter:alderstone_consolidated_revenue,_management_forecast_basis",SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0000"", ""target"": ""perimeter:alderstone_consolidated_revenue,_management_forecast_basis""}"
claim:0000,source:cim,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0000"", ""target"": ""source:cim""}"
claim:0000,author:seller/management,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0000"", ""target"": ""author:seller/management""}"
claim:0000,claim:0005,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0000"", ""target"": ""claim:0005""}"
claim:0001,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0001"", ""target"": ""entity:alderstone""}"
claim:0001,metric:ebitda,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0001"", ""target"": ""metric:ebitda""}"
claim:0001,period:fy2025,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0001"", ""target"": ""period:fy2025""}"
claim:0001,perimeter:alderstone_seller-adjusted_ebitda_including_$2.5m_of_seller_adjustments,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0001"", ""target"": ""perimeter:alderstone_seller-adjusted_ebitda_including_$2.5m_of_seller_adjustments""}"
claim:0001,source:cim,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0001"", ""target"": ""source:cim""}"
claim:0001,author:seller/management,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0001"", ""target"": ""author:seller/management""}"
claim:0001,claim:0002,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0002""}"
claim:0001,claim:0009,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0009""}"
claim:0001,claim:0010,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0010""}"
claim:0001,claim:0011,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0011""}"
claim:0001,claim:0012,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0001"", ""target"": ""claim:0012""}"
claim:0001,claim:0013,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0013""}"
claim:0002,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0002"", ""target"": ""entity:alderstone""}"
claim:0002,metric:ebitda_margin,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0002"", ""target"": ""metric:ebitda_margin""}"
claim:0002,period:fy2025,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0002"", ""target"": ""period:fy2025""}"
claim:0002,perimeter:alderstone_seller-defined_ebitda_basis,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0002"", ""target"": ""perimeter:alderstone_seller-defined_ebitda_basis""}"
claim:0002,source:cim,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0002"", ""target"": ""source:cim""}"
claim:0002,author:seller/management,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0002"", ""target"": ""author:seller/management""}"
claim:0002,claim:0009,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0009""}"
claim:0002,claim:0010,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0010""}"
claim:0002,claim:0011,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0011""}"
claim:0002,claim:0012,TRACKS,"{""rel"": ""TRACKS"", ""source"": ""claim:0002"", ""target"": ""claim:0012""}"
claim:0003,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0003"", ""target"": ""entity:alderstone""}"
claim:0003,metric:customer_concentration,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0003"", ""target"": ""metric:customer_concentration""}"
claim:0003,period:fy2025,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0003"", ""target"": ""period:fy2025""}"
claim:0003,"perimeter:largest_customer_measured_at_billing-account_level,_not_ultimate_parent",SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0003"", ""target"": ""perimeter:largest_customer_measured_at_billing-account_level,_not_ultimate_parent""}"
claim:0003,source:cim,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0003"", ""target"": ""source:cim""}"
claim:0003,author:seller/management,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0003"", ""target"": ""author:seller/management""}"
claim:0003,area:customer,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0003"", ""target"": ""area:customer""}"
claim:0003,claim:0004,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0003"", ""target"": ""claim:0004""}"
claim:0003,claim:0014,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0003"", ""target"": ""claim:0014""}"
claim:0003,claim:0015,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0003"", ""target"": ""claim:0015""}"
claim:0004,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0004"", ""target"": ""entity:alderstone""}"
claim:0004,metric:customer_concentration,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0004"", ""target"": ""metric:customer_concentration""}"
claim:0004,period:fy2025,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0004"", ""target"": ""period:fy2025""}"
claim:0004,perimeter:riverton_industrial_group_aggregated_across_seven_billing_accounts_and_six_facilities_on_ultimate-parent_basis,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0004"", ""target"": ""perimeter:riverton_industrial_group_aggregated_across_seven_billing_accounts_and_six_facilities_on_ultimate-parent_basis""}"
claim:0004,source:data_room_extract,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0004"", ""target"": ""source:data_room_extract""}"
claim:0004,author:buyer/panta,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0004"", ""target"": ""author:buyer/panta""}"
claim:0004,area:customer,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0004"", ""target"": ""area:customer""}"
claim:0004,claim:0000,DERIVES_FROM,"{""rel"": ""DERIVES_FROM"", ""source"": ""claim:0004"", ""target"": ""claim:0000""}"
claim:0004,claim:0014,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0004"", ""target"": ""claim:0014""}"
claim:0004,claim:0015,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0004"", ""target"": ""claim:0015""}"
claim:0005,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0005"", ""target"": ""entity:alderstone""}"
claim:0005,metric:recurring_revenue,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0005"", ""target"": ""metric:recurring_revenue""}"
claim:0005,period:fy2025,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0005"", ""target"": ""period:fy2025""}"
claim:0005,"perimeter:alderstone_scheduled_or_repeat_activity,_including_repeat_projects_as_well_as_scheduled_programs",SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0005"", ""target"": ""perimeter:alderstone_scheduled_or_repeat_activity,_including_repeat_projects_as_well_as_scheduled_programs""}"
claim:0005,source:cim,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0005"", ""target"": ""source:cim""}"
claim:0005,author:seller/management,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0005"", ""target"": ""author:seller/management""}"
claim:0006,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0006"", ""target"": ""entity:alderstone""}"
claim:0006,metric:systems_integration,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0006"", ""target"": ""metric:systems_integration""}"
claim:0006,period:fy2025,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0006"", ""target"": ""period:fy2025""}"
claim:0006,perimeter:alderstone_platform_across_four_acquired_companies,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0006"", ""target"": ""perimeter:alderstone_platform_across_four_acquired_companies""}"
claim:0006,source:cim,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0006"", ""target"": ""source:cim""}"
claim:0006,author:seller/management,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0006"", ""target"": ""author:seller/management""}"
claim:0006,area:operations,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0006"", ""target"": ""area:operations""}"
claim:0006,claim:0016,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0006"", ""target"": ""claim:0016""}"
claim:0007,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0007"", ""target"": ""entity:alderstone""}"
claim:0007,metric:active_billing_accounts,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0007"", ""target"": ""metric:active_billing_accounts""}"
claim:0007,period:fy2025,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0007"", ""target"": ""period:fy2025""}"
claim:0007,perimeter:alderstone_total_active_billing_accounts,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0007"", ""target"": ""perimeter:alderstone_total_active_billing_accounts""}"
claim:0007,source:cim,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0007"", ""target"": ""source:cim""}"
claim:0007,author:seller/management,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0007"", ""target"": ""author:seller/management""}"
claim:0007,area:market,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0007"", ""target"": ""area:market""}"
claim:0008,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0008"", ""target"": ""entity:alderstone""}"
claim:0008,metric:acquisition_count,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0008"", ""target"": ""metric:acquisition_count""}"
claim:0008,period:since_2020,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0008"", ""target"": ""period:since_2020""}"
claim:0008,perimeter:alderstone_acquisitions_completed_since_2020,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0008"", ""target"": ""perimeter:alderstone_acquisitions_completed_since_2020""}"
claim:0008,source:cim,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0008"", ""target"": ""source:cim""}"
claim:0008,author:seller/management,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0008"", ""target"": ""author:seller/management""}"
claim:0008,area:operations,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0008"", ""target"": ""area:operations""}"
claim:0008,claim:0006,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0008"", ""target"": ""claim:0006""}"
claim:0008,claim:0038,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0008"", ""target"": ""claim:0038""}"
claim:0009,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0009"", ""target"": ""entity:alderstone""}"
claim:0009,metric:ebitda,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0009"", ""target"": ""metric:ebitda""}"
claim:0009,period:fy2025,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0009"", ""target"": ""period:fy2025""}"
