src,tgt,rel,data
claim:0000,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0000"", ""target"": ""entity:alderstone""}"
claim:0000,metric:revenue,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0000"", ""target"": ""metric:revenue""}"
claim:0000,period:fy2025a,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0000"", ""target"": ""period:fy2025a""}"
claim:0000,perimeter:alderstone_consolidated_reported_revenue,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0000"", ""target"": ""perimeter:alderstone_consolidated_reported_revenue""}"
claim:0000,source:qoe_report,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0000"", ""target"": ""source:qoe_report""}"
claim:0000,author:qoe_provider,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0000"", ""target"": ""author:qoe_provider""}"
claim:0000,claim:0010,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0000"", ""target"": ""claim:0010""}"
claim:0001,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0001"", ""target"": ""entity:alderstone""}"
claim:0001,metric:ebitda,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0001"", ""target"": ""metric:ebitda""}"
claim:0001,period:fy2025a,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0001"", ""target"": ""period:fy2025a""}"
claim:0001,perimeter:alderstone_consolidated_reported_ebitda,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0001"", ""target"": ""perimeter:alderstone_consolidated_reported_ebitda""}"
claim:0001,source:qoe_report,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0001"", ""target"": ""source:qoe_report""}"
claim:0001,author:qoe_provider,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0001"", ""target"": ""author:qoe_provider""}"
claim:0001,claim:0002,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0002""}"
claim:0001,claim:0003,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0003""}"
claim:0001,claim:0004,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0004""}"
claim:0001,claim:0005,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0005""}"
claim:0001,claim:0006,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0006""}"
claim:0001,claim:0007,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0007""}"
claim:0001,claim:0008,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0008""}"
claim:0001,claim:0009,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0009""}"
claim:0001,claim:0010,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0010""}"
claim:0001,claim:0011,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0011""}"
claim:0001,claim:0012,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0012""}"
claim:0001,claim:0033,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0001"", ""target"": ""claim:0033""}"
claim:0002,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0002"", ""target"": ""entity:alderstone""}"
claim:0002,metric:ebitda,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0002"", ""target"": ""metric:ebitda""}"
claim:0002,period:fy2025a,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0002"", ""target"": ""period:fy2025a""}"
claim:0002,"perimeter:alderstone_consolidated_normalized_ebitda,_qoe-adjusted",SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0002"", ""target"": ""perimeter:alderstone_consolidated_normalized_ebitda,_qoe-adjusted""}"
claim:0002,source:qoe_report,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0002"", ""target"": ""source:qoe_report""}"
claim:0002,author:qoe_provider,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0002"", ""target"": ""author:qoe_provider""}"
claim:0002,area:earnings,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0002"", ""target"": ""area:earnings""}"
claim:0002,claim:0003,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0003""}"
claim:0002,claim:0004,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0004""}"
claim:0002,claim:0005,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0005""}"
claim:0002,claim:0006,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0006""}"
claim:0002,claim:0007,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0007""}"
claim:0002,claim:0008,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0008""}"
claim:0002,claim:0009,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0009""}"
claim:0002,claim:0010,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0010""}"
claim:0002,claim:0011,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0011""}"
claim:0002,claim:0012,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0012""}"
claim:0002,claim:0033,REFINES,"{""rel"": ""REFINES"", ""source"": ""claim:0002"", ""target"": ""claim:0033""}"
claim:0002,claim:0015,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0002"", ""target"": ""claim:0015""}"
claim:0003,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0003"", ""target"": ""entity:alderstone""}"
claim:0003,metric:ebitda_adjustment_-_founder/executive_compensation,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0003"", ""target"": ""metric:ebitda_adjustment_-_founder/executive_compensation""}"
claim:0003,period:fy2025a,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0003"", ""target"": ""period:fy2025a""}"
claim:0003,perimeter:alderstone_normalized_ebitda_add-back,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0003"", ""target"": ""perimeter:alderstone_normalized_ebitda_add-back""}"
claim:0003,source:qoe_report,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0003"", ""target"": ""source:qoe_report""}"
claim:0003,author:qoe_provider,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0003"", ""target"": ""author:qoe_provider""}"
claim:0003,area:earnings,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0003"", ""target"": ""area:earnings""}"
claim:0003,claim:0015,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0003"", ""target"": ""claim:0015""}"
claim:0004,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0004"", ""target"": ""entity:alderstone""}"
claim:0004,metric:ebitda_adjustment_-_transaction-readiness_and_professional_fees,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0004"", ""target"": ""metric:ebitda_adjustment_-_transaction-readiness_and_professional_fees""}"
claim:0004,period:fy2025a,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0004"", ""target"": ""period:fy2025a""}"
claim:0004,perimeter:alderstone_normalized_ebitda_add-back,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0004"", ""target"": ""perimeter:alderstone_normalized_ebitda_add-back""}"
claim:0004,source:qoe_report,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0004"", ""target"": ""source:qoe_report""}"
claim:0004,author:qoe_provider,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0004"", ""target"": ""author:qoe_provider""}"
claim:0004,area:earnings,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0004"", ""target"": ""area:earnings""}"
claim:0004,claim:0015,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0004"", ""target"": ""claim:0015""}"
claim:0005,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0005"", ""target"": ""entity:alderstone""}"
claim:0005,metric:ebitda_adjustment_-_integration_and_systems_costs,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0005"", ""target"": ""metric:ebitda_adjustment_-_integration_and_systems_costs""}"
claim:0005,period:fy2025a,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0005"", ""target"": ""period:fy2025a""}"
claim:0005,"perimeter:alderstone_normalized_ebitda_add-back,_non-recurring_only",SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0005"", ""target"": ""perimeter:alderstone_normalized_ebitda_add-back,_non-recurring_only""}"
claim:0005,source:qoe_report,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0005"", ""target"": ""source:qoe_report""}"
claim:0005,author:qoe_provider,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0005"", ""target"": ""author:qoe_provider""}"
claim:0005,area:earnings,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0005"", ""target"": ""area:earnings""}"
claim:0005,claim:0015,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0005"", ""target"": ""claim:0015""}"
claim:0006,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0006"", ""target"": ""entity:alderstone""}"
claim:0006,metric:ebitda_adjustment_-_legal_and_settlement_expense,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0006"", ""target"": ""metric:ebitda_adjustment_-_legal_and_settlement_expense""}"
claim:0006,period:fy2025a,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0006"", ""target"": ""period:fy2025a""}"
claim:0006,perimeter:alderstone_normalized_ebitda_add-back,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0006"", ""target"": ""perimeter:alderstone_normalized_ebitda_add-back""}"
claim:0006,source:qoe_report,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0006"", ""target"": ""source:qoe_report""}"
claim:0006,author:qoe_provider,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0006"", ""target"": ""author:qoe_provider""}"
claim:0006,area:earnings,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0006"", ""target"": ""area:earnings""}"
claim:0006,claim:0015,SUPPORTS,"{""rel"": ""SUPPORTS"", ""source"": ""claim:0006"", ""target"": ""claim:0015""}"
claim:0007,entity:alderstone,ABOUT,"{""rel"": ""ABOUT"", ""source"": ""claim:0007"", ""target"": ""entity:alderstone""}"
claim:0007,metric:ebitda_adjustment_-_duplicate_occupancy_and_facility_move,MEASURES,"{""rel"": ""MEASURES"", ""source"": ""claim:0007"", ""target"": ""metric:ebitda_adjustment_-_duplicate_occupancy_and_facility_move""}"
claim:0007,period:fy2025a,IN_PERIOD,"{""rel"": ""IN_PERIOD"", ""source"": ""claim:0007"", ""target"": ""period:fy2025a""}"
claim:0007,perimeter:alderstone_normalized_ebitda_add-back,SCOPED_TO,"{""rel"": ""SCOPED_TO"", ""source"": ""claim:0007"", ""target"": ""perimeter:alderstone_normalized_ebitda_add-back""}"
claim:0007,source:qoe_report,FROM_SOURCE,"{""rel"": ""FROM_SOURCE"", ""source"": ""claim:0007"", ""target"": ""source:qoe_report""}"
claim:0007,author:qoe_provider,BY_AUTHOR,"{""rel"": ""BY_AUTHOR"", ""source"": ""claim:0007"", ""target"": ""author:qoe_provider""}"
claim:0007,area:earnings,IN_AREA,"{""rel"": ""IN_AREA"", ""source"": ""claim:0007"", ""target"": ""area:earnings""}"
