id,type,label,data
claim:0000,claim,,"{""type"": ""claim"", ""value"": ""74.0"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Alderstone generated FY2025 reported revenue of $74.0m."", ""locator"": ""Executive findings"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0000""}"
entity:alderstone,entity,Alderstone,"{""type"": ""entity"", ""label"": ""Alderstone"", ""id"": ""entity:alderstone""}"
metric:revenue,metric,Revenue,"{""type"": ""metric"", ""label"": ""Revenue"", ""id"": ""metric:revenue""}"
period:fy2025a,period,FY2025A,"{""type"": ""period"", ""label"": ""FY2025A"", ""id"": ""period:fy2025a""}"
perimeter:alderstone_consolidated_reported_revenue,perimeter,Alderstone consolidated reported revenue,"{""type"": ""perimeter"", ""label"": ""Alderstone consolidated reported revenue"", ""id"": ""perimeter:alderstone_consolidated_reported_revenue""}"
source:qoe_report,source,QoE Report,"{""type"": ""source"", ""label"": ""QoE Report"", ""id"": ""source:qoe_report""}"
author:qoe_provider,author,QoE provider,"{""type"": ""author"", ""label"": ""QoE provider"", ""id"": ""author:qoe_provider""}"
claim:0001,claim,,"{""type"": ""claim"", ""value"": ""10.2"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Alderstone reported EBITDA for FY2025 was $10.2m from historical accounts."", ""locator"": ""Executive findings"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0001""}"
metric:ebitda,metric,EBITDA,"{""type"": ""metric"", ""label"": ""EBITDA"", ""id"": ""metric:ebitda""}"
perimeter:alderstone_consolidated_reported_ebitda,perimeter,Alderstone consolidated reported EBITDA,"{""type"": ""perimeter"", ""label"": ""Alderstone consolidated reported EBITDA"", ""id"": ""perimeter:alderstone_consolidated_reported_ebitda""}"
claim:0002,claim,,"{""type"": ""claim"", ""value"": ""11.9"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Based on procedures performed and adjustments documented, normalized FY2025 EBITDA is $11.9m."", ""locator"": ""Executive findings"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0002""}"
"perimeter:alderstone_consolidated_normalized_ebitda,_qoe-adjusted",perimeter,"Alderstone consolidated normalized EBITDA, QoE-adjusted","{""type"": ""perimeter"", ""label"": ""Alderstone consolidated normalized EBITDA, QoE-adjusted"", ""id"": ""perimeter:alderstone_consolidated_normalized_ebitda,_qoe-adjusted""}"
area:earnings,area,Earnings,"{""type"": ""area"", ""label"": ""Earnings"", ""id"": ""area:earnings""}"
claim:0003,claim,,"{""type"": ""claim"", ""value"": ""0.35"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Founder and executive compensation of $0.35m was accepted at market replacement cost."", ""locator"": ""Normalized EBITDA schedule"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0003""}"
metric:ebitda_adjustment_-_founder/executive_compensation,metric,EBITDA Adjustment - Founder/Executive Compensation,"{""type"": ""metric"", ""label"": ""EBITDA Adjustment - Founder/Executive Compensation"", ""id"": ""metric:ebitda_adjustment_-_founder/executive_compensation""}"
perimeter:alderstone_normalized_ebitda_add-back,perimeter,Alderstone normalized EBITDA add-back,"{""type"": ""perimeter"", ""label"": ""Alderstone normalized EBITDA add-back"", ""id"": ""perimeter:alderstone_normalized_ebitda_add-back""}"
