screen_number,file,title,surface_class,purpose,release,origin,synthetic
1,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/01_Fund_Command.png,Fund Command,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
2,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/02_Deal_Command.png,Deal Command,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
3,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/03_Sources_Ingest.png,Sources Ingest,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
4,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/04_Ingest_Progress.png,Ingest Progress,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
5,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/05_Vault_Inbox.png,Vault Inbox,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
6,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/06_Source_Library.png,Source Library,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
7,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/07_Claims_Explorer.png,Claims Explorer,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
8,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/08_Compiler_Review.png,Compiler Review,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
9,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/09_Case_Setup_IC_Record.png,Case Setup IC Record,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
10,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/10_Work.png,Work,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
11,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/11_What_the_Deal_Rests_On.png,What the Deal Rests On,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
12,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/12_Unknowns_Decision.png,Unknowns Decision,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
13,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/13_Unknowns_Pipeline.png,Unknowns Pipeline,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
14,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/14_Shadow_IC.png,Shadow IC,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
15,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/15_Scenario_Lab.png,Scenario Lab,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
16,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/16_Artifacts.png,Artifacts,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
17,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/17_Registry.png,Registry,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
18,03_SCREEN_ATLAS/01_PERSISTENT_ROOMS/18_Causal_Replay.png,Causal Replay,Persistent Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
19,03_SCREEN_ATLAS/02_CONTEXTUAL_OVERLAYS/19_Object_Aperture_Claim_Basis.png,Object Aperture Claim Basis,Contextual Overlay,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
20,03_SCREEN_ATLAS/02_CONTEXTUAL_OVERLAYS/20_Object_Aperture_Claim_Action.png,Object Aperture Claim Action,Contextual Overlay,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
21,03_SCREEN_ATLAS/02_CONTEXTUAL_OVERLAYS/21_Object_Aperture_Cell.png,Object Aperture Cell,Contextual Overlay,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
22,03_SCREEN_ATLAS/02_CONTEXTUAL_OVERLAYS/22_Object_Aperture_Source_PDF.png,Object Aperture Source PDF,Contextual Overlay,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
23,03_SCREEN_ATLAS/02_CONTEXTUAL_OVERLAYS/23_Quick_Navigation.png,Quick Navigation,Contextual Overlay,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
24,03_SCREEN_ATLAS/03_TRANSIENT_WORKFLOWS/24_Change_Arrival.png,Change Arrival,Transient Workflow,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
25,03_SCREEN_ATLAS/03_TRANSIENT_WORKFLOWS/25_Change_Review.png,Change Review,Transient Workflow,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
26,03_SCREEN_ATLAS/03_TRANSIENT_WORKFLOWS/26_Change_Review_Editing.png,Change Review Editing,Transient Workflow,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
27,03_SCREEN_ATLAS/03_TRANSIENT_WORKFLOWS/27_Change_Impact.png,Change Impact,Transient Workflow,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
28,03_SCREEN_ATLAS/03_TRANSIENT_WORKFLOWS/28_Action_Frontier.png,Action Frontier,Transient Workflow,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
29,03_SCREEN_ATLAS/04_GATED_ROOMS/29_Decision_Room_Active.png,Decision Room Active,Gated Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
30,03_SCREEN_ATLAS/04_GATED_ROOMS/30_Execution_Room_Ready.png,Execution Room Ready,Gated Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
31,03_SCREEN_ATLAS/04_GATED_ROOMS/31_Execution_Room_Acknowledged.png,Execution Room Acknowledged,Gated Room,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
32,03_SCREEN_ATLAS/05_COMPLETION_STATES/32_Settled_State.png,Settled State,Completion State,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
33,03_SCREEN_ATLAS/06_BLOCKED_ERROR_AND_MODE_STATES/33_Decision_Blocked.png,Decision Blocked,Mode / Blocked / Error State,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
